Lava Spike	PLAYER_OR_PW	AUTO	target=player
Lavalanche	PLAYER_OR_PW	AUTO	target(player)
Leyline of Lightning	PLAYER_OR_PW	AUTO	target(player)
Lunge	PLAYER_OR_PW	AUTO	target(player)
Mage Slayer	PLAYER_OR_PW	REVIEW	no-player-target: 
Mob Justice	PLAYER_OR_PW	AUTO	target=player
Mogg Bombers	PLAYER_OR_PW	AUTO	target(player)
Mogg Maniac	OPP_OR_PW	REVIEW	no-player-target: 
Myr Battlesphere	PLAYER_OR_PW	REVIEW	no-player-target: 
Noble Vestige	PLAYER_OR_PW	AUTO	target(player)
Obelisk of Alara	PLAYER_OR_PW	AUTO	target(player)
Pulse of the Forge	PLAYER_OR_PW	AUTO	target=player
Rage Forger	PLAYER_OR_PW	AUTO	target(player)
Rage Thrower	PLAYER_OR_PW	AUTO	target(player)
Raid Bombardment	PLAYER_OR_PW	REVIEW	no-player-target: 
Rakdos's Return	OPP_OR_PW	AUTO	target(opponent)
Ravager of the Fells	OPP_OR_PW	REVIEW	no-player-target: target(creature|opponentbattlefield)
Razortip Whip	OPP_OR_PW	AUTO	target(opponent)
Relic Bind	PLAYER_OR_PW	REVIEW	target(player) | target(player)
Rite of Consumption	PLAYER_OR_PW	AUTO	target=player
Scalding Devil	PLAYER_OR_PW	AUTO	target(player)
Scalding Tongs	OPP_OR_PW	REVIEW	no-player-target: 
Scepter of Empires	PLAYER_OR_PW	AUTO	target(player)
Scorched Rusalka	PLAYER_OR_PW	AUTO	target(player)
Scorching Missile	PLAYER_OR_PW	AUTO	target=player
Scrapyard Salvo	PLAYER_OR_PW	AUTO	target=player
Scuttling Doom Engine	OPP_OR_PW	AUTO	target(opponent)
Searing Flesh	OPP_OR_PW	REVIEW	no-player-target: 
Shower of Sparks	PLAYER_OR_PW	AUTO	target(player)
Sorin's Vengeance	PLAYER_OR_PW	AUTO	target=player
Sparkcaster	PLAYER_OR_PW	REVIEW	no-player-target: 
Stalking Vengeance	PLAYER_OR_PW	AUTO	target(player)
Stensia Bloodhall	PLAYER_OR_PW	AUTO	target(player)
Stensia Banquet	OPP_OR_PW	AUTO	target=opponent
Stolen Grain	OPP_OR_PW	REVIEW	no-player-target: 
Taste of Blood	PLAYER_OR_PW	AUTO	target=player
Telim'Tor's Darts	PLAYER_OR_PW	AUTO	target(player)
Thumbscrews	OPP_OR_PW	REVIEW	no-player-target: 
Touch of Death	PLAYER_OR_PW	AUTO	target=player
Vampiric Touch	OPP_OR_PW	REVIEW	no-player-target: 
Vent Sentinel	PLAYER_OR_PW	AUTO	target(player)
Volcanic Rambler	PLAYER_OR_PW	AUTO	target(player)
Vulshok Replica	PLAYER_OR_PW	AUTO	target(player)
Wall of Souls	OPP_OR_PW	REVIEW	no-player-target: 
Wandering Mage	PLAYER_OR_PW	AUTO	target(player)
Witch Hunter	PLAYER_OR_PW	AUTO	target(player)
Zada's Commando	OPP_OR_PW	AUTO	target(opponent)
Bonfire of the Damned	PLAYER_OR_PW	AUTO	target=player
Captain's Maneuver	NO_PATTERN	REVIEW	no-player-target: target=anytarget | target(anytarget)
Chandra, Fire of Kaladesh	PLAYER_OR_PW	AUTO	target(player)
Clan Defiance	PLAYER_OR_PW	AUTO	target=player
Flames of the Blood Hand	PLAYER_OR_PW	REVIEW	no-player-target: 
Haunting Misery	PLAYER_OR_PW	AUTO	target=player
Manticore of the Gauntlet	OPP_OR_PW	REVIEW	no-player-target: target(creature|mybattlefield)
Noggle Hedge-Mage	PLAYER_OR_PW	AUTO	target(player)
Pyromancy	ANYTARGET	REVIEW	no-player-target: target(anytarget)
Searing Blaze	PLAYER_OR_PW	AUTO	target=player
Skullcrack	PLAYER_OR_PW	AUTO	target=player
Sunscorched Desert	PLAYER_OR_PW	AUTO	target(player)
Unstable Footing	PLAYER_OR_PW	AUTO	target(player)
Wall of Forgotten Pharaohs	PLAYER_OR_PW	AUTO	target(player)
Zealot of the God-Pharaoh	OPP_OR_PW	AUTO	target(opponent)
Chandra Nalaar	PLAYER_OR_PW	AUTO	target(player)
Chandra, Pyromaster	PLAYER_OR_PW	REVIEW	no-player-target: target(creature|opponentbattlefield) | target(creature|mybattlefield) | target(*[-permanent&tobecha]|myexile)
Kaboom!	PLAYER_OR_PW	REVIEW	no-player-target: 
Land's Edge	PLAYER_OR_PW	REVIEW	no-player-target: 
Martyrdom	NO_PATTERN	REVIEW	no-player-target: 
Soul Burn	ANYTARGET	REVIEW	no-player-target: 
Surestrike Trident	PLAYER_OR_PW	REVIEW	no-player-target: 
The Ultimate Nightmare of Wizards of the Coast® Customer Service	NO_PATTERN	REVIEW	no-player-target: 
Vengeful Archon	PLAYER_OR_PW	REVIEW	no-player-target: 
