Vulshok Replica	mtg.txt	target(player) -> target(player,planeswalker)
Wandering Mage	mtg.txt	target(player) -> target(player,planeswalker)
Witch Hunter	mtg.txt	target(player) -> target(player,planeswalker)
Zada's Commando	mtg.txt	target(opponent) -> target(opponent,planeswalker)
Bonfire of the Damned	borderline.txt	target=player -> target=player,planeswalker
Chandra, Fire of Kaladesh	borderline.txt	target(player) -> target(player,planeswalker)
Clan Defiance	borderline.txt	target=player -> target=player,planeswalker
Haunting Misery	borderline.txt	target=player -> target=player,planeswalker
Noggle Hedge-Mage	borderline.txt	target(player) -> target(player,planeswalker)
Searing Blaze	borderline.txt	target=player -> target=player,planeswalker
Skullcrack	borderline.txt	target=player -> target=player,planeswalker
Sunscorched Desert	borderline.txt	target(player) -> target(player,planeswalker)
Unstable Footing	borderline.txt	target(player) -> target(player,planeswalker)
Wall of Forgotten Pharaohs	borderline.txt	target(player) -> target(player,planeswalker)
Zealot of the God-Pharaoh	borderline.txt	target(opponent) -> target(opponent,planeswalker)
Chandra Nalaar	planeswalkers.txt	target(player) -> target(player,planeswalker)
# REVERTED after probe verification (see engine-bugs.md Oracle-drift-sweep section):
Sparkcaster	mtg.txt	REVERTED (dual-interactive-ETB fizzle)
Manticore of the Gauntlet	borderline.txt	REVERTED (dual-interactive-ETB fizzle)
Ravager of the Fells	mtg.txt	REVERTED (dual-interactive shape)
Scalding Tongs	mtg.txt	REVERTED (trigger-payload chooser fizzle)
Thumbscrews	mtg.txt	REVERTED (trigger-payload chooser fizzle)
Mogg Maniac	mtg.txt	REVERTED (trigger-payload chooser fizzle)
Wall of Souls	mtg.txt	REVERTED (trigger-payload chooser fizzle)
# KEPT from manual batch: Kiss of Death, Searing Flesh, Stolen Grain, Vampiric Touch (spell target=),
# Keldon Marauders (ETB targeted), Relic Bind (choice widened). Plus the 85 AUTO widenings above.
